Timestamp,Soil_Moisture_Pct,Temperature_Cel,Humidity_Pct,Light_Intensity_Lux,NPK_Levels,Scenario
2026-05-01 00:00:00,60.99,22.31,66.99,74.44,46.64,Optimal
2026-05-01 01:00:00,59.72,20.29,68.52,81.23,46.82,Optimal
2026-05-01 02:00:00,61.3,20.65,65.54,82.49,49.09,Optimal
2026-05-01 03:00:00,63.05,22.74,61.11,85.7,50.69,Optimal
2026-05-01 04:00:00,59.53,22.17,66.2,87.9,45.88,Optimal
2026-05-01 05:00:00,59.53,21.82,63.05,74.92,49.25,Optimal
2026-05-01 06:00:00,63.16,22.02,63.41,75.95,49.21,Optimal
2026-05-01 07:00:00,61.53,22.35,66.76,73.71,52.08,Optimal
2026-05-01 08:00:00,59.06,21.46,68.71,78.83,49.42,Optimal
2026-05-01 09:00:00,61.09,21.22,65.06,82.33,50.57,Optimal
2026-05-01 10:00:00,59.07,22.2,65.93,84.94,50.21,Optimal
2026-05-01 11:00:00,59.07,21.02,70.11,79.62,46.8,Optimal
2026-05-01 12:00:00,60.48,22.41,65.72,78.4,51.15,Optimal
2026-05-01 13:00:00,56.17,20.3,72.81,80.76,50.32,Optimal
2026-05-01 14:00:00,56.55,23.03,66.7,75.82,50.76,Optimal
2026-05-01 15:00:00,58.88,22.47,59.72,90.45,55.89,Optimal
2026-05-01 16:00:00,57.97,22.26,67.26,71.96,46.87,Optimal
2026-05-01 17:00:00,60.63,22.98,66.14,80.92,52.59,Optimal
2026-05-01 18:00:00,58.18,23.67,68.87,90.12,49.57,Optimal
2026-05-01 19:00:00,57.18,23.01,67.02,80.03,50.43,Optimal
2026-05-01 20:00:00,62.93,20.16,64.58,79.05,49.93,Optimal
2026-05-01 21:00:00,59.55,20.72,61.33,78.21,49.36,Optimal
2026-05-01 22:00:00,60.14,21.38,64.37,79.1,49.15,Optimal
2026-05-01 23:00:00,57.15,22.03,62.45,86.86,50.49,Optimal
2026-05-02 00:00:00,58.91,22.52,63.26,68.94,47.72,Optimal
2026-05-02 01:00:00,60.22,21.27,66.77,87.67,51.13,Optimal
2026-05-02 02:00:00,57.7,22.19,70.01,72.88,49.38,Optimal
2026-05-02 03:00:00,60.75,21.24,66.18,78.67,48.3,Optimal
2026-05-02 04:00:00,58.8,21.39,61.41,77.85,49.32,Optimal
2026-05-02 05:00:00,59.42,20.59,66.33,82.94,51.89,Optimal
2026-05-02 06:00:00,58.8,21.08,68.59,72.01,49.2,Optimal
2026-05-02 07:00:00,63.7,20.65,63.17,82.31,50.54,Optimal
2026-05-02 08:00:00,59.97,21.02,64.6,90.12,48.9,Optimal
2026-05-02 09:00:00,57.88,23.05,65.04,73.18,51.14,Optimal
2026-05-02 10:00:00,61.65,21.05,62.65,80.95,51.03,Optimal
2026-05-02 11:00:00,57.56,24.63,66.94,76.69,52.77,Optimal
2026-05-02 12:00:00,60.42,22.49,64.64,82.13,49.74,Optimal
2026-05-02 13:00:00,56.08,22.18,66.26,80.1,51.0,Optimal
2026-05-02 14:00:00,57.34,21.14,62.34,76.79,50.15,Optimal
2026-05-02 15:00:00,60.39,22.7,63.69,82.44,51.94,Optimal
2026-05-02 16:00:00,61.48,21.42,67.17,89.02,48.92,Optimal
2026-05-02 17:00:00,60.34,22.12,63.88,79.05,51.12,Optimal
2026-05-02 18:00:00,59.77,24.56,70.18,83.6,49.71,Optimal
2026-05-02 19:00:00,59.4,21.9,63.8,73.53,49.9,Optimal
2026-05-02 20:00:00,57.04,23.15,65.67,75.22,50.14,Optimal
2026-05-02 21:00:00,58.56,21.3,67.8,82.36,50.38,Optimal
2026-05-02 22:00:00,59.08,21.97,60.74,87.42,49.83,Optimal
2026-05-02 23:00:00,62.11,23.77,59.72,81.78,50.32,Optimal
2026-05-03 00:00:00,60.69,21.37,60.42,78.43,52.37,Optimal
2026-05-03 01:00:00,56.47,23.81,68.79,80.0,51.48,Optimal
